Input, Context, Output
Who presents the Sakharov Prize at the award ceremony?, [The President of Parliament shall present the prize at a ceremony during a plenary session of Parliament.]; [Following that assessment; the two committees shall proceed jointly to an indicative vote producing a list of three candidates; in alphabetical order; from which the Conference of Presidents shall select one winner.]; [Parliament shall annually award the Sakharov Prize for freedom of thought.]; [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.]; [An achievement within the meaning of Article 2 must be substantiated and verifiable.], The President of Parliament
What must nominations for the Sakharov Prize include?, [Each proposal must be signed and include supporting evidence.]; [Nominations must secure the support of at least 40 Members; or a political group; of Parliament.]; [An achievement within the meaning of Article 2 must be substantiated and verifiable.]; [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.]; [The nationality; place of residence or seat of the candidates shall be immaterial.], Supporting evidence
In which languages must a written work be submitted in support of an application for the Sakharov Prize?, [If a written work is submitted in support of an application; it must be in one of the official languages of the European Union.]; [The nationality; place of residence or seat of the candidates shall be immaterial.]; [An achievement within the meaning of Article 2 must be substantiated and verifiable.]; [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.]; [Each proposal must be signed and include supporting evidence.], One of the official languages of the European Union.
What is required for an achievement within the meaning of Article 2?, [An achievement within the meaning of Article 2 must be substantiated and verifiable.]; [The prize may be awarded to natural persons or to associations or organisations; irrespective of whether they have legal personality.]; [The nationality; place of residence or seat of the candidates shall be immaterial.]; [Parliament reserves the right to publish any work for which the prize is awarded.]; [If a written work is submitted in support of an application; it must be in one of the official languages of the European Union.], It must be substantiated and verifiable.
When is the official award ceremony for the Sakharov Prize held?, [December Official award ceremony at the plenary sitting (Strasbourg)]; [October/November Decision by the Conference of Presidents on one winner]; [A call for nominations is circulated to the Members of Parliament]; [The President of Parliament shall present the prize at a ceremony during a plenary session of Parliament.]; [The Conference of Presidents shall select one winner.], December
What is the deadline for proposing nominees for the Sakharov Prize?, [September Closing date for proposing nominees]; [June/July A call for nominations is circulated to the Members of Parliament]; [October/November Decision by the Conference of Presidents on one winner]; [September/October The Committee on Foreign Affairs and the Committee on Development jointly assess the nominations]; [The President of Parliament shall present the prize at a ceremony during a plenary session of Parliament.], September
When were the decisions to set up the Transatlantic Legislators' Dialogue Steering Committee adopted by the Conference of Presidents?, [The Conference of Presidents decisions were adopted on 16 September 1999; 2 May 2000; 18 May 2000; and 6 July 20001.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [It shall report regularly to the Conference of Committee Chairs.], 16 September 1999; 2 May 2000; 18 May 2000; and 6 July 2001.
What is the primary purpose of the Transatlantic Legislators’ Dialogue Steering Committee according to Article 1?, [A Steering Committee is hereby set up within the European Parliament to coordinate; in close cooperation with its US counterpart; the Delegation for relations with the United States and the Conference of Committee Chairs; all activities relating to the Transatlantic Legislators’ Dialogue (TLD).]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall ensure that the TLD remains at all times an instrument at the disposal of all committees.], To coordinate; in close cooperation with its US counterpart; the Delegation for relations with the United States and the Conference of Committee Chairs; all activities relating to the Transatlantic Legislators’ Dialogue (TLD).
What is one of the main terms of reference for the Transatlantic Legislators' Dialogue Steering Committee listed in Article 3?, [It shall act as a liaison body responsible for coordinating TLD activities; maintaining regular contacts with the Senior Level Group; and ensuring appropriate representation of the relevant parliamentary committees in TLD activities.]; [It shall report regularly to the Conference of Committee Chairs.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [It shall ensure that the TLD remains at all times an instrument at the disposal of all committees.], It shall act as a liaison body responsible for coordinating TLD activities; maintaining regular contacts with the Senior Level Group; and ensuring appropriate representation of the relevant parliamentary committees in TLD activities.
Who comprises the Steering Committee according to Article 4?, [The Steering Committee shall consist of the following: the Bureau of the Delegation for relations with the United States, the Chair of the Conference of Committee Chairs, the Chair of the Committee on Foreign Affairs, the Chair of the Committee on Industry; Research and Energy, the Chair of the Committee on Agriculture and Rural Development, the Chair of the Committee on Civil Liberties; Justice and Home Affairs, the Chair of the Committee on International Trade, the Chair of the Committee on Economic and Monetary Affairs, the Chair of the Committee on the Environment; Public Health and Food Safety, the Chair of the Committee on the Internal Market and Consumer Protection, the Chair of the Committee on Transport and Tourism, the Chair of the Committee on Culture and Education.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [The Conference of Presidents decisions were adopted on 16 September 1999.]; [It shall report regularly to the Conference of Committee Chairs.], The Bureau of the Delegation for relations with the United States, the Chair of the Conference of Committee Chairs, the Chair of the Committee on Foreign Affairs, the Chair of the Committee on Industry; Research and Energy, the Chair of the Committee on Agriculture and Rural Development, the Chair of the Committee on Civil Liberties; Justice and Home Affairs, the Chair of the Committee on International Trade, the Chair of the Committee on Economic and Monetary Affairs, the Chair of the Committee on the Environment; Public Health and Food Safety, the Chair of the Committee on the Internal Market and Consumer Protection, the Chair of the Committee on Transport and Tourism, the Chair of the Committee on Culture and Education.
Who co-chairs the Steering Committee as stated in Article 5?, [The Steering Committee shall be co-chaired by the Chair of the Delegation for relations with the United States; the Chair of the Committee on Foreign Affairs and the Chair of the Committee on International Trade.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall report regularly to the Conference of Committee Chairs.], The Chair of the Delegation for relations with the United States; the Chair of the Committee on Foreign Affairs; and the Chair of the Committee on International Trade.
According to Article 2; what does the Conference of Presidents recognize about the TLD initiative?, [The Conference of Presidents recognises the potential value of the TLD initiative in strengthening cooperation and forging closer links between the European Parliament and the United States Congress on matters of common interest.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [The Conference of Presidents decisions were adopted on 16 September 1999.]; [It shall report regularly to the Conference of Committee Chairs.], Its potential value in strengthening cooperation and forging closer links between the European Parliament and the United States Congress on matters of common interest.
What are the Steering Committee's responsibilities towards the Conference of Committee Chairs; relevant committees; and the Delegation for relations with the United States?, [It shall report regularly to the Conference of Committee Chairs; relevant committees and the Delegation for relations with the United States on the activities of the TLD and its agendas and debates.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall ensure that the TLD remains at all times an instrument at the disposal of all committees.], To report regularly on the activities of the TLD and its agendas and debates.
What is the overarching goal of the Transatlantic Legislators’ Dialogue (TLD) as mentioned in Article 1?, [With a view to strengthening parliamentary supervision in the areas covered by the New Transatlantic Agenda and promoting timely consultation of parliamentary committees.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall report regularly to the Conference of Committee Chairs.], To strengthen parliamentary supervision in the areas covered by the New Transatlantic Agenda and promote timely consultation of parliamentary committees.
According to Article 3; what is the role of the Steering Committee in relation to the TLD?, [It shall act as a liaison body responsible for coordinating TLD activities; maintaining regular contacts with the Senior Level Group; and ensuring appropriate representation of the relevant parliamentary committees in TLD activities.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall report regularly to the Conference of Committee Chairs.], To act as a liaison body responsible for coordinating TLD activities; maintaining regular contacts with the Senior Level Group; and ensuring appropriate representation of the relevant parliamentary committees in TLD activities.
What is the significance of the decisions made by the Conference of Presidents on 29 September 2005 and 7 July 2016?, [They amended the initial decision to set up the Steering Committee.]; [The Conference of Presidents recognises the potential value of the TLD initiative.]; [The Steering Committee shall consist of the Bureau of the Delegation for relations with the United States.]; [The Transatlantic Legislators’ Dialogue Steering Committee shall have the following terms of reference.]; [It shall report regularly to the Conference of Committee Chairs.], They amended the initial decision to set up the Steering Committee.
Who is eligible for the European Citizen's Prize?, [Only projects carried out exclusively within EU Member States or partially within EU Member States (where the part of the project carried out within EU Member States represents more than 50% of the project’s overall budget) shall be considered.; The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; Citizens; groups; associations or organisations complying with the criteria laid down in Articles 3 and 4 of these Rules; can apply for the European Citizen’s Prize for projects they have carried out.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; National juries consisting of at least three members of the European Parliament; a representative of a national civil society organisation and a representative of a national youth organisation; will propose a maximum of five potential laureates from their Member States to the Chancellery; not in priority order; not later than the date set by the Chancellor.], Citizens; groups; associations or organisations complying with the criteria laid down in Articles 3 and 4 of these Rules; can apply for the European Citizen’s Prize for projects they have carried out.
What form does the European Citizen's Prize take?, [The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; In view of the symbolic nature of the prize; the number of awards attributed each year is limited to a quota of maximum 50 laureates; taking into account the gender balance.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The European Parliament reserves the right to reproduce the contributed material for presentation; media and promotional purposes.; The body authorised to award the prize is the "European Citizen's Prize Chancellery".], The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.
Who assists the national juries in the selection procedure of the proposed laureates?, [The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The Liaison Office in the respective Member States invites Members to participate in the national juries on an annual basis.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.; In the selection procedure of the proposed laureates; the national juries are assisted by the Liaison Offices of the European Parliament.; The Chancellery will establish its regulations.], In the selection procedure of the proposed laureates; the national juries are assisted by the Liaison Offices of the European Parliament.
Who is the Chancellor of the European Citizen's Prize?, [The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The President of the European Parliament is the Chancellor. He/she may delegate his/her powers to a Vice-President.; National juries consisting of at least three members of the European Parliament; a representative of a national civil society organisation and a representative of a national youth organisation; will propose a maximum of five potential laureates from their Member States to the Chancellery; not in priority order; not later than the date set by the Chancellor.; The Liaison Office in the respective Member States invites Members to participate in the national juries on an annual basis.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.], The President of the European Parliament is the Chancellor. He/she may delegate his/her powers to a Vice-President.
What must the nomination or application include according to Article 6?, [The nomination or application shall include a declaration signed by the citizen / representative of the group / organisation / association certifying that the citizen / group / association / organisation comply with the eligibility criteria as set out in Article 3 and do not fall under an exclusion criteria as set out in Article 4.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; National juries consisting of at least three members of the European Parliament; a representative of a national civil society organisation and a representative of a national youth organisation; will propose a maximum of five potential laureates from their Member States to the Chancellery; not in priority order; not later than the date set by the Chancellor.], The nomination or application shall include a declaration signed by the citizen / representative of the group / organisation / association certifying that the citizen / group / association / organisation comply with the eligibility criteria as set out in Article 3 and do not fall under an exclusion criteria as set out in Article 4.
What must the national juries' decision take into account according to Article 7?, [The decision of the national jury on the list of proposed laureates shall take into account the opinions of all jury members and shall in particular mention clearly any issues which the jury members consider the Chancellery should be aware of.; The nomination or application shall include a declaration signed by the citizen / representative of the group / organisation / association certifying that the citizen / group / association / organisation comply with the eligibility criteria as set out in Article 3 and do not fall under an exclusion criteria as set out in Article 4.; The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The Chancellery will establish its regulations.], The decision of the national jury on the list of proposed laureates shall take into account the opinions of all jury members and shall in particular mention clearly any issues which the jury members consider the Chancellery should be aware of.
What are the responsibilities of the European Parliament Directorate-General for Communication (DG COMM)?, [The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The European Parliament Directorate-General for Communication (DG COMM) will be responsible for the secretariat; will organise Award Ceremonies and will carry out the necessary administrative assessments.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.; National juries consisting of at least three members of the European Parliament; a representative of a national civil society organisation and a representative of a national youth organisation; will propose a maximum of five potential laureates from their Member States to the Chancellery; not in priority order; not later than the date set by the Chancellor.; The Chancellery will establish its regulations.], The European Parliament Directorate-General for Communication (DG COMM) will be responsible for the secretariat; will organise Award Ceremonies and will carry out the necessary administrative assessments.
What happens if a laureate refuses to accept the prize?, [In case of refusal by a laureate to accept the prize; he/she or; as the case may be; his/her representative shall neither be invited to the award ceremony and to the central event; nor is he/she or his/her representative entitled to attend these events and to request reimbursement of possible travel expenses.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.; The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; The Chancellery will establish its regulations.], In case of refusal by a laureate to accept the prize; he/she or; as the case may be; his/her representative shall neither be invited to the award ceremony and to the central event; nor is he/she or his/her representative entitled to attend these events and to request reimbursement of possible travel expenses.
What is the maximum number of laureates that can be chosen each year?, [The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; In view of the symbolic nature of the prize; the number of awards attributed each year is limited to a quota of maximum 50 laureates; taking into account the gender balance.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The Liaison Office shall also invite representatives of national civil society and youth organisations to participate in the national juries on an annual basis.; The decision of the Chancellery is final.], In view of the symbolic nature of the prize; the number of awards attributed each year is limited to a quota of maximum 50 laureates; taking into account the gender balance.
Can the prize be awarded posthumously?, [The prize is in the form of a medal of honour or; for group awards; a medal or plaque of sufficient size to be displayed.; The Chancellery awards the Prize by a reasoned decision based on the propositions of laureates made by the national juries.; The nomination or application shall include a declaration signed by the citizen / representative of the group / organisation / association certifying that the citizen / group / association / organisation comply with the eligibility criteria as set out in Article 3 and do not fall under an exclusion criteria as set out in Article 4.; The Prize can be awarded posthumously in case the declaration on the eligibility and exclusion criteria; as required under the sixth paragraph of Article 6; had been signed by the respective citizen / project manager / representative of the group; association or organisation before he/she was deceased.; National juries consisting of at least three members of the European Parliament; a representative of a national civil society organisation and a representative of a national youth organisation; will propose a maximum of five potential laureates from their Member States to the Chancellery; not in priority order; not later than the date set by the Chancellor.], The Prize can be awarded posthumously in case the declaration on the eligibility and exclusion criteria; as required under the sixth paragraph of Article 6; had been signed by the respective citizen / project manager / representative of the group; association or organisation before he/she was deceased.
What is the purpose of Article 23 in the implementing provisions governing the work of delegations?, [Article 23 specifies the entitlement to business-class air travel and reimbursement procedures for Members on missions.]; [Article 23 outlines the responsibilities of the delegation chairs.]; [Article 23 describes the coordination efforts between parliamentary committees.]; [Article 23 explains the process for submitting mission reports.]; [Article 23 includes details on the interpretation and translation provisions.], Article 23 specifies the entitlement to business-class air travel and reimbursement procedures for Members on missions.
When was the decision on the implementing provisions governing the work of delegations adopted?, [The decision was adopted on 29 October 2015.]; [The decision was adopted on 1 January 2016.]; [The decision was adopted on 21 September 2006.]; [The decision was adopted on 16 June 2014.]; [The decision was adopted on 10 April 2014.], The decision was adopted on 29 October 2015.
What does Article 3 of the implementing provisions stipulate regarding delegation activities?, [Article 3 states that delegations should enhance the EU's role and visibility in the world.]; [Article 3 describes the reporting obligations of delegations.]; [Article 3 outlines the procedural rules for delegation meetings.]; [Article 3 explains the reimbursement process for delegation expenses.]; [Article 3 includes provisions on the composition of delegations.], Article 3 states that delegations should enhance the EU's role and visibility in the world.
What is included in the report with statistics on Members' travel activities according to Article 24?, [The report includes the number and types of mission; the number of Members participating; and a breakdown by political group.]; [The report includes the budget allocation for each mission.]; [The report provides detailed individual expenses for each Member.]; [The report includes feedback from the host countries.]; [The report contains an evaluation of the effectiveness of each mission.] **Answer**: The report includes the number and types of mission; the number of Members participating; and a breakdown by political group.
Which article details the principles of authorisation for delegation activities?, [Article 7 details the principles of authorisation for delegation activities.]; [Article 4 details the principles of authorisation for delegation activities.]; [Article 11 details the principles of authorisation for delegation activities.]; [Article 15 details the principles of authorisation for delegation activities.]; [Article 3 details the principles of authorisation for delegation activities.], Article 7 details the principles of authorisation for delegation activities.
What is the purpose of the provisions in Article 22 regarding interpretation and translation?, [The provisions ensure that the languages of countries applying for EU membership are treated as official languages.]; [The provisions detail the reimbursement of translation expenses.]; [The provisions describe the interpretation facilities available during meetings.]; [The provisions outline the procedures for hiring interpreters.]; [The provisions explain the process for translating official documents.], 
The provisions ensure that the languages of countries applying for EU membership are treated as official languages.
What must the chair of an ad hoc mission do after completing the mission according to the provisions?, [The chair must submit a written report detailing the mission's objectives and outcomes.]; [The chair must organize a follow-up meeting with all participants.]; [The chair must provide a financial report of all expenses.]; [The chair must update the delegation's website with the mission details.]; [The chair must publish a press release summarizing the mission.], The chair must submit a written report detailing the mission's objectives and outcomes.
Which committee coordinates the work of ad hoc delegations according to Annex VI?, [The Committee on Foreign Affairs coordinates the work of ad hoc delegations.]; [The Committee on Budgetary Control coordinates the work of ad hoc delegations.]; [The Committee on Civil Liberties coordinates the work of ad hoc delegations.]; [The Committee on Employment and Social Affairs coordinates the work of ad hoc delegations.]; [The Committee on Women's Rights and Gender Equality coordinates the work of ad hoc delegations.], The Committee on Foreign Affairs coordinates the work of ad hoc delegations.
What are the entitlements for Members regarding air travel according to Article 23?, [Members are entitled to business-class air travel.]; [Members are entitled to first-class air travel.]; [Members are entitled to economy-class air travel.]; [Members are entitled to premium economy air travel.]; [Members are entitled to private jet travel.], Members are entitled to business-class air travel.
What does Article 25 state about the entry into force of the decision on implementing provisions?, [The decision enters into force on the date of its adoption; except for Article 10; which enters into force on 1 January 2016.]; [The decision enters into force one month after its adoption.]; [The decision enters into force immediately upon publication.]; [The decision enters into force on 1 January of the following year.]; [The decision enters into force six months after its adoption.], The decision enters into force on the date of its adoption; except for Article 10; which enters into force on 1 January 2016.
What is the function of the Bureau concerning the symbols of the Union?, [Parliament shall recognise and espouse the following symbols of the Union: the flag showing a circle of twelve golden stars on a blue background, the anthem based on the "Ode to Joy" from the Ninth Symphony by Ludwig van Beethoven, the motto "United in diversity" .]; [Parliament shall celebrate Europe Day on 9 May .]; [The flag shall be flown at all Parliament premises and on the occasion of official events .]; [The anthem shall be performed at the opening of each constitutive sitting and at other solemn sittings; particularly those to welcome heads of State or government or to greet new Members following enlargements .]; [The Bureau shall examine the further use of the symbols within the Parliament. The Bureau shall lay down detailed provisions for the implementation of this Rule .], The Bureau shall examine the further use of the symbols within the Parliament and lay down detailed provisions for the implementation of this Rule.
What must Members of Parliament do when they identify an error in a text adopted by Parliament?, [If an error is identified in a text adopted by Parliament; the President shall; where appropriate; refer a draft corrigendum to the committee responsible .]; [If an error is identified in a text adopted by Parliament and agreed with other institutions; the President shall seek the agreement of those institutions on the necessary corrections before proceeding .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Members shall refrain from any type of psychological or sexual harassment and shall respect the Code of appropriate behavior .]; [Parliament shall recognise and espouse the following symbols of the Union .], The President shall; where appropriate; refer a draft corrigendum to the committee responsible.
What is required for amendments to the Rules of Procedure to be adopted?, [Amendments to these Rules shall be adopted only if they secure the votes of a majority of the component Members of Parliament .]; [Unless otherwise specified when the vote is taken; amendments to these Rules and to their annexes shall enter into force on the first day of the part-session following that of their adoption .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [If an error is identified in a text adopted by Parliament; the President shall refer a draft corrigendum to the committee responsible .]; [Members shall refrain from any type of psychological or sexual harassment and shall respect the Code of appropriate behavior .], Amendments to the Rules of Procedure shall be adopted only if they secure the votes of a majority of the component Members of Parliament.
What does the flag of the Union symbolize?, [The flag of the Union shows a circle of twelve golden stars on a blue background .]; [The anthem is based on the "Ode to Joy" from the Ninth Symphony by Ludwig van Beethoven .]; [The motto is "United in diversity" .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .], The flag shows a circle of twelve golden stars on a blue background.
When shall Parliament celebrate Europe Day?, [Parliament shall celebrate Europe Day on 9 May .]; [The flag shall be flown at all Parliament premises and on the occasion of official events .]; [The anthem shall be performed at the opening of each constitutive sitting .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Amendments to the Rules shall be adopted if they secure the votes of a majority of the component Members of Parliament .], Parliament shall celebrate Europe Day on 9 May.
What action should be taken when Parliament has established a vacancy?, [When Parliament has established a vacancy; the President shall inform the Member State concerned thereof; and invite it to fill the seat without delay .]; [A request for the defence of the privileges and immunities of a Member shall not be admissible if a request for the waiver or defence of that Member's immunity has already been received in respect of the same facts .]; [Members shall refrain from any type of psychological or sexual harassment and shall respect the Code of appropriate behavior .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall recognise and espouse the following symbols of the Union .], The President shall inform the Member State concerned thereof; and invite it to fill the seat without delay.
What is the function of the anthem of the Union during solemn sittings?, [The anthem shall be performed at the opening of each constitutive sitting and at other solemn sittings; particularly those to welcome heads of State or government or to greet new Members following enlargements .]; [The flag shall be flown at all Parliament premises and on the occasion of official events .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .]; [Amendments to the Rules of Procedure shall be adopted only if they secure the votes of a majority of the component Members of Parliament .], The anthem shall be performed at the opening of each constitutive sitting and at other solemn sittings; particularly those to welcome heads of State or government or to greet new Members following enlargements.
What is the rule regarding the flag's use in meeting rooms of the Parliament?, [The flag shall be used in each meeting room of the Parliament .]; [The anthem shall be performed at the opening of each constitutive sitting .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .]; [Amendments to the Rules of Procedure shall be adopted only if they secure the votes of a majority of the component Members of Parliament .], The flag shall be used in each meeting room of the Parliament.
What should the President do if the budget is considered adopted according to Article 314 of the Treaty on the Functioning of the European Union?, [Where the President considers that the budget has been adopted in accordance with the provisions of Article 314 of the Treaty on the Functioning of the European Union; he or she shall declare in Parliament that the budget has been definitively adopted .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [The flag shall be used in each meeting room of the Parliament .]; [The anthem shall be performed at the opening of each constitutive sitting .]; [Parliament shall celebrate Europe Day on 9 May .], The President shall declare in Parliament that the budget has been definitively adopted.
What are the components of the Union's anthem?, [The anthem is based on the "Ode to Joy" from the Ninth Symphony by Ludwig van Beethoven .]; [The flag shows a circle of twelve golden stars on a blue background .]; [The motto is "United in diversity" .]; [Parliament shall celebrate Europe Day on 9 May .]; [The Bureau shall examine the further use of the symbols within the Parliament .], The anthem is based on the "Ode to Joy" from the Ninth Symphony by Ludwig van Beethoven.
What actions must the committee responsible take regarding the budget?, [Parliament shall monitor the implementation of the current year's budget. It shall entrust this task to the committees responsible for the budget and budgetary control and to the other committees concerned .]; [Parliament shall celebrate Europe Day on 9 May .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [The anthem shall be performed at the opening of each constitutive sitting .]; [The flag shall be used in each meeting room of the Parliament .], Parliament shall monitor the implementation of the current year's budget; entrusting this task to the committees responsible for the budget and budgetary control and to the other committees concerned.
What is the motto of the Union?, [The motto is "United in diversity".]; [The flag shows a circle of twelve golden stars on a blue background.]; [The anthem is based on the "Ode to Joy" from the Ninth Symphony by Ludwig van Beethoven .]; [Parliament shall celebrate Europe Day on 9 May .]; [The Bureau shall examine the further use of the symbols within the Parliament .], The motto is "United in diversity."
What procedure must be followed when the Privileges and Immunities Committee receives a request for a waiver or defence of a Member's immunity?, [A request for the defence of the privileges and immunities of a Member shall not be admissible if a request for the waiver or defence of that Member's immunity has already been received in respect of the same facts; whether or not a decision was taken at that time .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .]; [The flag shall be used in each meeting room of the Parliament .]; [The anthem shall be performed at the opening of each constitutive sitting .], A request for the defence of the privileges and immunities of a Member shall not be admissible if a request for the waiver or defence of that Member's immunity has already been received in respect of the same facts; whether or not a decision was taken at that time.
When do amendments to the Rules of Procedure enter into force?, [Unless otherwise specified when the vote is taken; amendments to these Rules and to their annexes shall enter into force on the first day of the part-session following that of their adoption .]; [Amendments to these Rules shall be adopted only if they secure the votes of a majority of the component Members of Parliament .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .]; [The flag shall be used in each meeting room of the Parliament .], Unless otherwise specified when the vote is taken; amendments to the Rules of Procedure and their annexes shall enter into force on the first day of the part-session following that of their adoption.
What should Members refrain from in their conduct according to the Code of appropriate behavior?, [Members shall refrain from any type of psychological or sexual harassment and shall respect the Code of appropriate behavior .]; [The Bureau shall examine the further use of the symbols within the Parliament .]; [Parliament shall celebrate Europe Day on 9 May .]; [The flag shall be used in each meeting room of the Parliament .]; [The anthem shall be performed at the opening of each constitutive sitting .], Members shall refrain from any type of psychological or sexual harassment and shall respect the Code of appropriate behavior.
